date,reference_entity,ticker,currency,seniority,tenor_years,cds_spread_bps,cds_5y_spread_bps,curve_k,hazard_rate_approx,pd_to_tenor_approx
2025-01-15,Chevron,CVX,USD,Senior Unsecured,1,9.8,28,0.38,0.001633333333333333,0.0016320013315694
2025-01-15,Chevron,CVX,USD,Senior Unsecured,2,16.5,28,0.38,0.00275,0.005481589498498516
2025-01-15,Chevron,CVX,USD,Senior Unsecured,3,21.4,28,0.38,0.003566666666666667,0.010640729628498
2025-01-15,Chevron,CVX,USD,Senior Unsecured,4,25.0,28,0.38,0.004166666666666667,0.016528941478523
2025-01-15,Chevron,CVX,USD,Senior Unsecured,5,28.0,28,0.38,0.004666666666666667,0.023064438100442
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,1,11.0,32,0.37,0.001833333333333333,0.0018316621663578
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,2,18.6,32,0.37,0.0031,0.006178894067347
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,3,24.2,32,0.37,0.004033333333333333,0.012029573298154
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,4,28.5,32,0.37,0.00475,0.018794854371508
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,5,32.0,32,0.37,0.005333333333333333,0.026329372988757
2025-01-15,IBM,IBM,USD,Senior Unsecured,1,17.5,48,0.42,0.002916666666666667,0.002912417595857
2025-01-15,IBM,IBM,USD,Senior Unsecured,2,28.6,48,0.42,0.004766666666666667,0.009486494671823
2025-01-15,IBM,IBM,USD,Senior Unsecured,3,36.6,48,0.42,0.0061,0.018134432318692
2025-01-15,IBM,IBM,USD,Senior Unsecured,4,42.8,48,0.42,0.007133333333333333,0.028101485671982
2025-01-15,IBM,IBM,USD,Senior Unsecured,5,48.0,48,0.42,0.008,0.039179415264371
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,1,18.6,52,0.41,0.0031,0.003095195775629
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,2,30.6,52,0.41,0.0051,0.010142637671863
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,3,39.3,52,0.41,0.00655,0.019456629152765
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,4,46.2,52,0.41,0.0077,0.030279915571252
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,5,52.0,52,0.41,0.008666666666666667,0.042398398664632
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,1,21.0,58,0.42,0.0035,0.003493877589869
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,2,34.5,58,0.42,0.00575,0.011432507908481
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,3,44.2,58,0.42,0.007366666666666667,0.021851534710458
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,4,51.7,58,0.42,0.008616666666666667,0.033831749088312
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,5,58.0,58,0.42,0.009666666666666667,0.047148229181498
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,1,23.0,62,0.43,0.003833333333333333,0.003826002568832
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,2,37.5,62,0.43,0.00625,0.012416506716152
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,3,47.8,62,0.43,0.007966666666666667,0.023607556618493
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,4,55.8,62,0.43,0.0093,0.036485313413347
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,5,62.0,62,0.43,0.010333333333333333,0.050358030586263
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,1,26.0,68,0.44,0.004333333333333333,0.004323952553026
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,2,42.0,68,0.44,0.007,0.013899833814768
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,3,53.2,68,0.44,0.008866666666666666,0.026241953894752
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,4,61.8,68,0.44,0.0103,0.040298761584624
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,5,68.0,68,0.44,0.011333333333333334,0.055142665689832
2025-01-15,Citigroup,C,USD,Senior Unsecured,1,31.2,78,0.46,0.0052,0.005186475644491
2025-01-15,Citigroup,C,USD,Senior Unsecured,2,49.5,78,0.46,0.00825,0.016377253108898
2025-01-15,Citigroup,C,USD,Senior Unsecured,3,62.0,78,0.46,0.010333333333333333,0.030536089266894
2025-01-15,Citigroup,C,USD,Senior Unsecured,4,71.5,78,0.46,0.011916666666666666,0.046448653684421
2025-01-15,Citigroup,C,USD,Senior Unsecured,5,78.0,78,0.46,0.013,0.062936285036498
2025-01-15,Verizon,VZ,USD,Senior Unsecured,1,30.8,75,0.48,0.005133333333333333,0.00512017095652
2025-01-15,Verizon,VZ,USD,Senior Unsecured,2,48.2,75,0.48,0.008033333333333333,0.015948665831789
2025-01-15,Verizon,VZ,USD,Senior Unsecured,3,60.0,75,0.48,0.01,0.029554466451491
2025-01-15,Verizon,VZ,USD,Senior Unsecured,4,69.0,75,0.48,0.0115,0.044851417279932
2025-01-15,Verizon,VZ,USD,Senior Unsecured,5,75.0,75,0.48,0.0125,0.060568088614013
2025-01-15,AT&T,T,USD,Senior Unsecured,1,43.2,98,0.52,0.0072,0.007174150159122
2025-01-15,AT&T,T,USD,Senior Unsecured,2,65.5,98,0.52,0.010916666666666666,0.021580685193839
2025-01-15,AT&T,T,USD,Senior Unsecured,3,79.8,98,0.52,0.0133,0.039061684798413
2025-01-15,AT&T,T,USD,Senior Unsecured,4,90.2,98,0.52,0.015033333333333332,0.058256143620328
2025-01-15,AT&T,T,USD,Senior Unsecured,5,98.0,98,0.52,0.016333333333333333,0.078390658019323
2025-01-15,Boeing,BA,USD,Senior Unsecured,1,92.5,175,0.58,0.015416666666666667,0.015298505706621
2025-01-15,Boeing,BA,USD,Senior Unsecured,2,131.0,175,0.58,0.021833333333333333,0.042729968956988
2025-01-15,Boeing,BA,USD,Senior Unsecured,3,153.5,175,0.58,0.025583333333333333,0.073927889902285
2025-01-15,Boeing,BA,USD,Senior Unsecured,4,169.0,175,0.58,0.028166666666666666,0.106401628196587
2025-01-15,Boeing,BA,USD,Senior Unsecured,5,175.0,175,0.58,0.029166666666666667,0.135878393884892
