date,reference_entity,ticker,sector,adjusted_close
2024-01-22,Boeing,BA,Aerospace,214.93
2024-01-23,Boeing,BA,Aerospace,211.5
2024-01-24,Boeing,BA,Aerospace,214.13
2024-01-25,Boeing,BA,Aerospace,201.88
2024-01-26,Boeing,BA,Aerospace,205.47
2024-01-29,Boeing,BA,Aerospace,205.19
2024-01-30,Boeing,BA,Aerospace,200.44
2024-01-31,Boeing,BA,Aerospace,211.04
2024-02-01,Boeing,BA,Aerospace,209.81
2024-02-02,Boeing,BA,Aerospace,209.38
2024-02-05,Boeing,BA,Aerospace,206.63
2024-02-06,Boeing,BA,Aerospace,208.58
2024-02-07,Boeing,BA,Aerospace,211.92
2024-02-08,Boeing,BA,Aerospace,209.22
2024-02-09,Boeing,BA,Aerospace,209.2
2024-02-12,Boeing,BA,Aerospace,209.33
2024-02-13,Boeing,BA,Aerospace,204.46
2024-02-14,Boeing,BA,Aerospace,203.38
2024-02-15,Boeing,BA,Aerospace,205.33
2024-02-16,Boeing,BA,Aerospace,203.89
2024-02-20,Boeing,BA,Aerospace,203.37
2024-02-21,Boeing,BA,Aerospace,201.57
2024-02-22,Boeing,BA,Aerospace,201.5
2024-02-23,Boeing,BA,Aerospace,200.83
2024-02-26,Boeing,BA,Aerospace,200.54
2024-02-27,Boeing,BA,Aerospace,201.4
2024-02-28,Boeing,BA,Aerospace,207.0
2024-02-29,Boeing,BA,Aerospace,203.72
2024-03-01,Boeing,BA,Aerospace,200.0
2024-03-04,Boeing,BA,Aerospace,200.54
2024-03-05,Boeing,BA,Aerospace,201.14
2024-03-06,Boeing,BA,Aerospace,201.0
2024-03-07,Boeing,BA,Aerospace,203.03
2024-03-08,Boeing,BA,Aerospace,198.49
2024-03-11,Boeing,BA,Aerospace,192.49
2024-03-12,Boeing,BA,Aerospace,184.24
2024-03-13,Boeing,BA,Aerospace,182.35
2024-03-14,Boeing,BA,Aerospace,181.15
2024-03-15,Boeing,BA,Aerospace,182.53
2024-03-18,Boeing,BA,Aerospace,179.84
2024-03-19,Boeing,BA,Aerospace,181.14
2024-03-20,Boeing,BA,Aerospace,187.78
2024-03-21,Boeing,BA,Aerospace,187.7
2024-03-22,Boeing,BA,Aerospace,188.85
2024-03-25,Boeing,BA,Aerospace,191.41
2024-03-26,Boeing,BA,Aerospace,187.5
2024-03-27,Boeing,BA,Aerospace,191.95
2024-03-28,Boeing,BA,Aerospace,192.99
2024-04-01,Boeing,BA,Aerospace,189.5
2024-04-02,Boeing,BA,Aerospace,188.04
2024-04-03,Boeing,BA,Aerospace,184.92
2024-04-04,Boeing,BA,Aerospace,183.29
2024-04-05,Boeing,BA,Aerospace,183.14
2024-04-08,Boeing,BA,Aerospace,181.56
2024-04-09,Boeing,BA,Aerospace,178.12
2024-04-10,Boeing,BA,Aerospace,174.63
2024-04-11,Boeing,BA,Aerospace,173.36
2024-04-12,Boeing,BA,Aerospace,169.55
2024-04-15,Boeing,BA,Aerospace,167.82
2024-04-16,Boeing,BA,Aerospace,170.55
2024-04-17,Boeing,BA,Aerospace,170.21
2024-04-18,Boeing,BA,Aerospace,170.23
2024-04-19,Boeing,BA,Aerospace,169.82
2024-04-22,Boeing,BA,Aerospace,170.48
2024-04-23,Boeing,BA,Aerospace,169.18
2024-04-24,Boeing,BA,Aerospace,164.33
2024-04-25,Boeing,BA,Aerospace,166.81
2024-04-26,Boeing,BA,Aerospace,167.22
2024-04-29,Boeing,BA,Aerospace,173.49
2024-04-30,Boeing,BA,Aerospace,167.84
2024-05-01,Boeing,BA,Aerospace,171.46
2024-05-02,Boeing,BA,Aerospace,178.85
2024-05-03,Boeing,BA,Aerospace,179.79
2024-05-06,Boeing,BA,Aerospace,178.35
2024-05-07,Boeing,BA,Aerospace,176.71
2024-05-08,Boeing,BA,Aerospace,180.35
2024-05-09,Boeing,BA,Aerospace,181.25
2024-05-10,Boeing,BA,Aerospace,178.51
2024-05-13,Boeing,BA,Aerospace,178.44
2024-05-14,Boeing,BA,Aerospace,180.76
2024-05-15,Boeing,BA,Aerospace,176.99
2024-05-16,Boeing,BA,Aerospace,182.96
2024-05-17,Boeing,BA,Aerospace,184.95
2024-05-20,Boeing,BA,Aerospace,186.61
2024-05-21,Boeing,BA,Aerospace,184.78
2024-05-22,Boeing,BA,Aerospace,186.28
2024-05-23,Boeing,BA,Aerospace,172.21
2024-05-24,Boeing,BA,Aerospace,174.52
2024-05-28,Boeing,BA,Aerospace,175.08
2024-05-29,Boeing,BA,Aerospace,171.65
2024-05-30,Boeing,BA,Aerospace,172.75
2024-05-31,Boeing,BA,Aerospace,177.61
2024-06-03,Boeing,BA,Aerospace,184.57
2024-06-04,Boeing,BA,Aerospace,188.62
2024-06-05,Boeing,BA,Aerospace,189.85
2024-06-06,Boeing,BA,Aerospace,191.42
2024-06-07,Boeing,BA,Aerospace,190.24
2024-06-10,Boeing,BA,Aerospace,190.12
2024-06-11,Boeing,BA,Aerospace,185.5
2024-06-12,Boeing,BA,Aerospace,182.67
2024-06-13,Boeing,BA,Aerospace,180.7
2024-06-14,Boeing,BA,Aerospace,177.27
2024-06-17,Boeing,BA,Aerospace,178.39
2024-06-18,Boeing,BA,Aerospace,174.99
2024-06-20,Boeing,BA,Aerospace,176.3
2024-06-21,Boeing,BA,Aerospace,176.56
2024-06-24,Boeing,BA,Aerospace,179.1
2024-06-25,Boeing,BA,Aerospace,175.1
2024-06-26,Boeing,BA,Aerospace,178.5
2024-06-27,Boeing,BA,Aerospace,182.51
2024-06-28,Boeing,BA,Aerospace,182.01
2024-07-01,Boeing,BA,Aerospace,186.7
2024-07-02,Boeing,BA,Aerospace,185.42
2024-07-03,Boeing,BA,Aerospace,184.31
2024-07-05,Boeing,BA,Aerospace,184.83
2024-07-08,Boeing,BA,Aerospace,185.84
2024-07-09,Boeing,BA,Aerospace,183.24
2024-07-10,Boeing,BA,Aerospace,183.73
2024-07-11,Boeing,BA,Aerospace,183.91
2024-07-12,Boeing,BA,Aerospace,182.31
2024-07-15,Boeing,BA,Aerospace,179.11
2024-07-16,Boeing,BA,Aerospace,186.05
2024-07-17,Boeing,BA,Aerospace,184.84
2024-07-18,Boeing,BA,Aerospace,180.23
2024-07-19,Boeing,BA,Aerospace,179.67
2024-07-22,Boeing,BA,Aerospace,178.9
2024-07-23,Boeing,BA,Aerospace,186.48
2024-07-24,Boeing,BA,Aerospace,180.07
2024-07-25,Boeing,BA,Aerospace,184.35
2024-07-26,Boeing,BA,Aerospace,186.89
2024-07-29,Boeing,BA,Aerospace,185.43
2024-07-30,Boeing,BA,Aerospace,186.86
2024-07-31,Boeing,BA,Aerospace,190.6
2024-08-01,Boeing,BA,Aerospace,178.31
2024-08-02,Boeing,BA,Aerospace,169.95
2024-08-05,Boeing,BA,Aerospace,167.03
2024-08-06,Boeing,BA,Aerospace,165.04
2024-08-07,Boeing,BA,Aerospace,163.24
2024-08-08,Boeing,BA,Aerospace,168.87
2024-08-09,Boeing,BA,Aerospace,167.91
2024-08-12,Boeing,BA,Aerospace,164.13
2024-08-13,Boeing,BA,Aerospace,168.76
2024-08-14,Boeing,BA,Aerospace,168.5
2024-08-15,Boeing,BA,Aerospace,176.41
2024-08-16,Boeing,BA,Aerospace,179.99
2024-08-19,Boeing,BA,Aerospace,179.64
2024-08-20,Boeing,BA,Aerospace,172.1
2024-08-21,Boeing,BA,Aerospace,173.43
2024-08-22,Boeing,BA,Aerospace,172.76
2024-08-23,Boeing,BA,Aerospace,174.96
2024-08-26,Boeing,BA,Aerospace,173.48
2024-08-27,Boeing,BA,Aerospace,173.05
2024-08-28,Boeing,BA,Aerospace,170.71
2024-08-29,Boeing,BA,Aerospace,172.26
2024-08-30,Boeing,BA,Aerospace,173.74
2024-09-03,Boeing,BA,Aerospace,161.02
2024-09-04,Boeing,BA,Aerospace,163.22
2024-09-05,Boeing,BA,Aerospace,162.15
2024-09-06,Boeing,BA,Aerospace,157.62
2024-09-09,Boeing,BA,Aerospace,162.91
2024-09-10,Boeing,BA,Aerospace,160.07
2024-09-11,Boeing,BA,Aerospace,161.33
2024-09-12,Boeing,BA,Aerospace,162.77
2024-09-13,Boeing,BA,Aerospace,156.77
2024-09-16,Boeing,BA,Aerospace,155.55
2024-09-17,Boeing,BA,Aerospace,156.39
2024-09-18,Boeing,BA,Aerospace,155.11
2024-09-19,Boeing,BA,Aerospace,154.59
2024-09-20,Boeing,BA,Aerospace,153.29
2024-09-23,Boeing,BA,Aerospace,156.3
2024-09-24,Boeing,BA,Aerospace,155.81
2024-09-25,Boeing,BA,Aerospace,152.22
2024-09-26,Boeing,BA,Aerospace,154.58
2024-09-27,Boeing,BA,Aerospace,156.32
2024-09-30,Boeing,BA,Aerospace,152.04
2024-10-01,Boeing,BA,Aerospace,154.22
2024-10-02,Boeing,BA,Aerospace,152.89
2024-10-03,Boeing,BA,Aerospace,150.52
2024-10-04,Boeing,BA,Aerospace,155.0
2024-10-07,Boeing,BA,Aerospace,155.91
2024-10-08,Boeing,BA,Aerospace,154.65
2024-10-09,Boeing,BA,Aerospace,149.37
2024-10-10,Boeing,BA,Aerospace,146.62
2024-10-11,Boeing,BA,Aerospace,151.02
2024-10-14,Boeing,BA,Aerospace,148.99
2024-10-15,Boeing,BA,Aerospace,152.35
2024-10-16,Boeing,BA,Aerospace,154.9
2024-10-17,Boeing,BA,Aerospace,155.31
2024-10-18,Boeing,BA,Aerospace,155.0
2024-10-21,Boeing,BA,Aerospace,159.82
2024-10-22,Boeing,BA,Aerospace,159.88
2024-10-23,Boeing,BA,Aerospace,157.06
2024-10-24,Boeing,BA,Aerospace,155.2
2024-10-25,Boeing,BA,Aerospace,155.01
2024-10-28,Boeing,BA,Aerospace,150.69
2024-10-29,Boeing,BA,Aerospace,152.98
2024-10-30,Boeing,BA,Aerospace,154.29
2024-10-31,Boeing,BA,Aerospace,149.31
2024-11-01,Boeing,BA,Aerospace,154.59
2024-11-04,Boeing,BA,Aerospace,155.07
2024-11-05,Boeing,BA,Aerospace,151.0
2024-11-06,Boeing,BA,Aerospace,147.16
2024-11-07,Boeing,BA,Aerospace,150.98
2024-11-08,Boeing,BA,Aerospace,151.68
2024-11-11,Boeing,BA,Aerospace,148.96
2024-11-12,Boeing,BA,Aerospace,145.17
2024-11-13,Boeing,BA,Aerospace,139.97
2024-11-14,Boeing,BA,Aerospace,138.14
2024-11-15,Boeing,BA,Aerospace,140.19
2024-11-18,Boeing,BA,Aerospace,143.87
2024-11-19,Boeing,BA,Aerospace,145.6
2024-11-20,Boeing,BA,Aerospace,146.08
2024-11-21,Boeing,BA,Aerospace,143.41
2024-11-22,Boeing,BA,Aerospace,149.29
2024-11-25,Boeing,BA,Aerospace,153.1
2024-11-26,Boeing,BA,Aerospace,150.76
2024-11-27,Boeing,BA,Aerospace,152.4
2024-11-29,Boeing,BA,Aerospace,155.44
2024-12-02,Boeing,BA,Aerospace,156.54
2024-12-03,Boeing,BA,Aerospace,155.0
2024-12-04,Boeing,BA,Aerospace,158.28
2024-12-05,Boeing,BA,Aerospace,156.67
2024-12-06,Boeing,BA,Aerospace,153.93
2024-12-09,Boeing,BA,Aerospace,157.04
2024-12-10,Boeing,BA,Aerospace,164.1
2024-12-11,Boeing,BA,Aerospace,165.96
2024-12-12,Boeing,BA,Aerospace,167.75
2024-12-13,Boeing,BA,Aerospace,169.65
2024-12-16,Boeing,BA,Aerospace,173.17
2024-12-17,Boeing,BA,Aerospace,173.03
2024-12-18,Boeing,BA,Aerospace,172.62
2024-12-19,Boeing,BA,Aerospace,177.04
2024-12-20,Boeing,BA,Aerospace,177.35
2024-12-23,Boeing,BA,Aerospace,177.69
2024-12-24,Boeing,BA,Aerospace,179.34
2024-12-26,Boeing,BA,Aerospace,180.38
2024-12-27,Boeing,BA,Aerospace,180.72
2024-12-30,Boeing,BA,Aerospace,176.55
2024-12-31,Boeing,BA,Aerospace,177.0
2025-01-02,Boeing,BA,Aerospace,171.87
2025-01-03,Boeing,BA,Aerospace,169.9
2025-01-06,Boeing,BA,Aerospace,170.78
2025-01-07,Boeing,BA,Aerospace,172.51
2025-01-08,Boeing,BA,Aerospace,171.76
2025-01-10,Boeing,BA,Aerospace,172.0
