date,reference_entity,ticker,currency,seniority,tenor_years,cds_spread_bps,cds_5y_spread_bps,curve_k,hazard_rate_approx,pd_to_tenor_approx
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,1,21.2,55,0.397,0.003533333333333333,0.003527105968498856
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,2,35.2,55,0.397,0.005866666666666667,0.011669064518482122
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,3,44.8,55,0.397,0.007466666666666667,0.022147367951498985
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,4,51.2,55,0.397,0.008533333333333333,0.03355451702498419
2025-01-15,JPMorgan Chase & Co.,JPM,USD,Senior Unsecured,5,55.0,55,0.397,0.009166666666666667,0.04480602023468498
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,1,13.5,35,0.403,0.00225,0.0022474707821137616
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,2,22.4,35,0.403,0.003733333333333333,0.007434810236019046
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,3,28.5,35,0.403,0.00475,0.01413855478949611
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,4,32.6,35,0.403,0.005433333333333333,0.021470958316073
2025-01-15,Bank of America,BAC,USD,Senior Unsecured,5,35.0,35,0.403,0.005833333333333334,0.028742086400452806
2025-01-15,Citigroup,C,USD,Senior Unsecured,1,32.8,85,0.395,0.005466666666666667,0.005451782406988652
2025-01-15,Citigroup,C,USD,Senior Unsecured,2,54.4,85,0.395,0.009066666666666666,0.017974093078155665
2025-01-15,Citigroup,C,USD,Senior Unsecured,3,69.2,85,0.395,0.011533333333333333,0.03400141591960626
2025-01-15,Citigroup,C,USD,Senior Unsecured,4,79.1,85,0.395,0.013183333333333334,0.05134759765078693
2025-01-15,Citigroup,C,USD,Senior Unsecured,5,85.0,85,0.395,0.014166666666666666,0.06823008578725024
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,1,46.3,120,0.388,0.007716666666666666,0.007687029600583086
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,2,76.8,120,0.388,0.0128,0.025262626953637113
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,3,97.7,120,0.388,0.016283333333333335,0.04766653310823077
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,4,111.7,120,0.388,0.018616666666666666,0.07170648661996006
2025-01-15,Goldman Sachs,GS,USD,Senior Unsecured,5,120.0,120,0.388,0.02,0.09516258196404048
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,1,17.4,45,0.401,0.0029,0.002895792613266297
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,2,28.8,45,0.401,0.0048,0.009554296005765553
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,3,36.7,45,0.401,0.006116666666666667,0.018186330928691687
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,4,41.9,45,0.401,0.006983333333333333,0.027532426155523916
2025-01-15,Morgan Stanley,MS,USD,Senior Unsecured,5,45.0,45,0.401,0.0075,0.03681545425426204
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,1,13.5,35,0.403,0.00225,0.0022474707821137616
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,2,22.4,35,0.403,0.003733333333333333,0.007434810236019046
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,3,28.5,35,0.403,0.00475,0.01413855478949611
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,4,32.6,35,0.403,0.005433333333333333,0.021470958316073
2025-01-15,Exxon Mobil,XOM,USD,Senior Unsecured,5,35.0,35,0.403,0.005833333333333334,0.028742086400452806
2025-01-15,AT&T,T,USD,Senior Unsecured,1,32.8,85,0.395,0.005466666666666667,0.005451782406988652
2025-01-15,AT&T,T,USD,Senior Unsecured,2,54.4,85,0.395,0.009066666666666666,0.017974093078155665
2025-01-15,AT&T,T,USD,Senior Unsecured,3,69.2,85,0.395,0.011533333333333333,0.03400141591960626
2025-01-15,AT&T,T,USD,Senior Unsecured,4,79.1,85,0.395,0.013183333333333334,0.05134759765078693
2025-01-15,AT&T,T,USD,Senior Unsecured,5,85.0,85,0.395,0.014166666666666666,0.06823008578725024
2025-01-15,Boeing,BA,USD,Senior Unsecured,1,46.3,120,0.388,0.007716666666666666,0.007687029600583086
2025-01-15,Boeing,BA,USD,Senior Unsecured,2,76.8,120,0.388,0.0128,0.025262626953637113
2025-01-15,Boeing,BA,USD,Senior Unsecured,3,97.7,120,0.388,0.016283333333333335,0.04766653310823077
2025-01-15,Boeing,BA,USD,Senior Unsecured,4,111.7,120,0.388,0.018616666666666666,0.07170648661996006
2025-01-15,Boeing,BA,USD,Senior Unsecured,5,120.0,120,0.388,0.02,0.09516258196404048
2025-01-15,IBM,IBM,USD,Senior Unsecured,1,17.4,45,0.401,0.0029,0.002895792613266297
2025-01-15,IBM,IBM,USD,Senior Unsecured,2,28.8,45,0.401,0.0048,0.009554296005765553
2025-01-15,IBM,IBM,USD,Senior Unsecured,3,36.7,45,0.401,0.006116666666666667,0.018186330928691687
2025-01-15,IBM,IBM,USD,Senior Unsecured,4,41.9,45,0.401,0.006983333333333333,0.027532426155523916
2025-01-15,IBM,IBM,USD,Senior Unsecured,5,45.0,45,0.401,0.0075,0.03681545425426204
