date,reference_entity,ticker,sector,cds_5y_spread_bps
2016-01-31,Alpha Bank Corp,ALPHA,financials,75.0
2016-01-31,Beta Energy Inc,BETA,energy,55.0
2016-01-31,Gamma Tech Ltd,GAMMA,tech,45.0
2016-01-31,Delta Industrial Co,DELTA,industrials,100.0
2016-01-31,Epsilon Telecom,EPSILON,telecoms,65.0
2016-02-29,Alpha Bank Corp,ALPHA,financials,77.3
2016-02-29,Beta Energy Inc,BETA,energy,49.8
2016-02-29,Gamma Tech Ltd,GAMMA,tech,47.7
2016-02-29,Delta Industrial Co,DELTA,industrials,107.2
2016-02-29,Epsilon Telecom,EPSILON,telecoms,59.3
2016-03-31,Alpha Bank Corp,ALPHA,financials,67.6
2016-03-31,Beta Energy Inc,BETA,energy,48.2
2016-03-31,Gamma Tech Ltd,GAMMA,tech,44.3
2016-03-31,Delta Industrial Co,DELTA,industrials,98.9
2016-03-31,Epsilon Telecom,EPSILON,telecoms,54.0
2016-04-30,Alpha Bank Corp,ALPHA,financials,74.6
2016-04-30,Beta Energy Inc,BETA,energy,54.8
2016-04-30,Gamma Tech Ltd,GAMMA,tech,46.4
2016-04-30,Delta Industrial Co,DELTA,industrials,121.9
2016-04-30,Epsilon Telecom,EPSILON,telecoms,59.2
2016-05-31,Alpha Bank Corp,ALPHA,financials,68.4
2016-05-31,Beta Energy Inc,BETA,energy,55.1
2016-05-31,Gamma Tech Ltd,GAMMA,tech,41.8
2016-05-31,Delta Industrial Co,DELTA,industrials,125.7
2016-05-31,Epsilon Telecom,EPSILON,telecoms,57.3
2016-06-30,Alpha Bank Corp,ALPHA,financials,67.6
2016-06-30,Beta Energy Inc,BETA,energy,50.8
2016-06-30,Gamma Tech Ltd,GAMMA,tech,45.7
2016-06-30,Delta Industrial Co,DELTA,industrials,118.9
2016-06-30,Epsilon Telecom,EPSILON,telecoms,56.9
2016-07-31,Alpha Bank Corp,ALPHA,financials,65.8
2016-07-31,Beta Energy Inc,BETA,energy,53.3
2016-07-31,Gamma Tech Ltd,GAMMA,tech,46.6
2016-07-31,Delta Industrial Co,DELTA,industrials,124.5
2016-07-31,Epsilon Telecom,EPSILON,telecoms,59.2
2016-08-31,Alpha Bank Corp,ALPHA,financials,82.6
2016-08-31,Beta Energy Inc,BETA,energy,55.8
2016-08-31,Gamma Tech Ltd,GAMMA,tech,47.9
2016-08-31,Delta Industrial Co,DELTA,industrials,124.4
2016-08-31,Epsilon Telecom,EPSILON,telecoms,65.5
2016-09-30,Alpha Bank Corp,ALPHA,financials,91.9
2016-09-30,Beta Energy Inc,BETA,energy,57.6
2016-09-30,Gamma Tech Ltd,GAMMA,tech,46.3
2016-09-30,Delta Industrial Co,DELTA,industrials,118.3
2016-09-30,Epsilon Telecom,EPSILON,telecoms,69.1
2016-10-31,Alpha Bank Corp,ALPHA,financials,97.4
2016-10-31,Beta Energy Inc,BETA,energy,62.7
2016-10-31,Gamma Tech Ltd,GAMMA,tech,45.2
2016-10-31,Delta Industrial Co,DELTA,industrials,127.5
2016-10-31,Epsilon Telecom,EPSILON,telecoms,70.8
2016-11-30,Alpha Bank Corp,ALPHA,financials,97.4
2016-11-30,Beta Energy Inc,BETA,energy,69.0
2016-11-30,Gamma Tech Ltd,GAMMA,tech,46.7
2016-11-30,Delta Industrial Co,DELTA,industrials,143.5
2016-11-30,Epsilon Telecom,EPSILON,telecoms,72.4
2016-12-31,Alpha Bank Corp,ALPHA,financials,98.1
2016-12-31,Beta Energy Inc,BETA,energy,73.6
2016-12-31,Gamma Tech Ltd,GAMMA,tech,42.2
2016-12-31,Delta Industrial Co,DELTA,industrials,139.7
2016-12-31,Epsilon Telecom,EPSILON,telecoms,68.9
2017-01-31,Alpha Bank Corp,ALPHA,financials,90.0
2017-01-31,Beta Energy Inc,BETA,energy,68.3
2017-01-31,Gamma Tech Ltd,GAMMA,tech,46.6
2017-01-31,Delta Industrial Co,DELTA,industrials,122.2
2017-01-31,Epsilon Telecom,EPSILON,telecoms,72.2
2017-02-28,Alpha Bank Corp,ALPHA,financials,74.8
2017-02-28,Beta Energy Inc,BETA,energy,60.6
2017-02-28,Gamma Tech Ltd,GAMMA,tech,44.2
2017-02-28,Delta Industrial Co,DELTA,industrials,114.4
2017-02-28,Epsilon Telecom,EPSILON,telecoms,70.5
2017-03-31,Alpha Bank Corp,ALPHA,financials,81.0
2017-03-31,Beta Energy Inc,BETA,energy,59.9
2017-03-31,Gamma Tech Ltd,GAMMA,tech,43.7
2017-03-31,Delta Industrial Co,DELTA,industrials,126.2
2017-03-31,Epsilon Telecom,EPSILON,telecoms,70.9
2017-04-30,Alpha Bank Corp,ALPHA,financials,70.8
2017-04-30,Beta Energy Inc,BETA,energy,50.0
2017-04-30,Gamma Tech Ltd,GAMMA,tech,38.6
2017-04-30,Delta Industrial Co,DELTA,industrials,112.4
2017-04-30,Epsilon Telecom,EPSILON,telecoms,66.2
2017-05-31,Alpha Bank Corp,ALPHA,financials,76.2
2017-05-31,Beta Energy Inc,BETA,energy,49.4
2017-05-31,Gamma Tech Ltd,GAMMA,tech,40.5
2017-05-31,Delta Industrial Co,DELTA,industrials,121.3
2017-05-31,Epsilon Telecom,EPSILON,telecoms,66.8
2017-06-30,Alpha Bank Corp,ALPHA,financials,79.7
2017-06-30,Beta Energy Inc,BETA,energy,47.2
2017-06-30,Gamma Tech Ltd,GAMMA,tech,40.1
2017-06-30,Delta Industrial Co,DELTA,industrials,113.6
2017-06-30,Epsilon Telecom,EPSILON,telecoms,62.2
2017-07-31,Alpha Bank Corp,ALPHA,financials,83.3
2017-07-31,Beta Energy Inc,BETA,energy,46.2
2017-07-31,Gamma Tech Ltd,GAMMA,tech,41.1
2017-07-31,Delta Industrial Co,DELTA,industrials,118.8
2017-07-31,Epsilon Telecom,EPSILON,telecoms,65.1
2017-08-31,Alpha Bank Corp,ALPHA,financials,88.3
2017-08-31,Beta Energy Inc,BETA,energy,47.5
2017-08-31,Gamma Tech Ltd,GAMMA,tech,41.0
2017-08-31,Delta Industrial Co,DELTA,industrials,119.7
2017-08-31,Epsilon Telecom,EPSILON,telecoms,59.9
2017-09-30,Alpha Bank Corp,ALPHA,financials,75.3
2017-09-30,Beta Energy Inc,BETA,energy,39.2
2017-09-30,Gamma Tech Ltd,GAMMA,tech,35.9
2017-09-30,Delta Industrial Co,DELTA,industrials,103.7
2017-09-30,Epsilon Telecom,EPSILON,telecoms,52.8
2017-10-31,Alpha Bank Corp,ALPHA,financials,72.5
2017-10-31,Beta Energy Inc,BETA,energy,45.5
2017-10-31,Gamma Tech Ltd,GAMMA,tech,35.7
2017-10-31,Delta Industrial Co,DELTA,industrials,116.3
2017-10-31,Epsilon Telecom,EPSILON,telecoms,50.8
2017-11-30,Alpha Bank Corp,ALPHA,financials,71.2
2017-11-30,Beta Energy Inc,BETA,energy,41.2
2017-11-30,Gamma Tech Ltd,GAMMA,tech,35.0
2017-11-30,Delta Industrial Co,DELTA,industrials,117.1
2017-11-30,Epsilon Telecom,EPSILON,telecoms,46.1
2017-12-31,Alpha Bank Corp,ALPHA,financials,74.7
2017-12-31,Beta Energy Inc,BETA,energy,43.9
2017-12-31,Gamma Tech Ltd,GAMMA,tech,34.9
2017-12-31,Delta Industrial Co,DELTA,industrials,103.1
2017-12-31,Epsilon Telecom,EPSILON,telecoms,47.4
2018-01-31,Alpha Bank Corp,ALPHA,financials,70.8
2018-01-31,Beta Energy Inc,BETA,energy,44.7
2018-01-31,Gamma Tech Ltd,GAMMA,tech,35.3
2018-01-31,Delta Industrial Co,DELTA,industrials,118.8
2018-01-31,Epsilon Telecom,EPSILON,telecoms,47.8
2018-02-28,Alpha Bank Corp,ALPHA,financials,64.2
2018-02-28,Beta Energy Inc,BETA,energy,44.4
2018-02-28,Gamma Tech Ltd,GAMMA,tech,35.5
2018-02-28,Delta Industrial Co,DELTA,industrials,128.8
2018-02-28,Epsilon Telecom,EPSILON,telecoms,50.5
2018-03-31,Alpha Bank Corp,ALPHA,financials,67.4
2018-03-31,Beta Energy Inc,BETA,energy,53.5
2018-03-31,Gamma Tech Ltd,GAMMA,tech,34.1
2018-03-31,Delta Industrial Co,DELTA,industrials,128.9
2018-03-31,Epsilon Telecom,EPSILON,telecoms,48.8
2018-04-30,Alpha Bank Corp,ALPHA,financials,65.4
2018-04-30,Beta Energy Inc,BETA,energy,45.4
2018-04-30,Gamma Tech Ltd,GAMMA,tech,35.8
2018-04-30,Delta Industrial Co,DELTA,industrials,113.9
2018-04-30,Epsilon Telecom,EPSILON,telecoms,45.1
2018-05-31,Alpha Bank Corp,ALPHA,financials,59.7
2018-05-31,Beta Energy Inc,BETA,energy,45.7
2018-05-31,Gamma Tech Ltd,GAMMA,tech,37.9
2018-05-31,Delta Industrial Co,DELTA,industrials,134.5
2018-05-31,Epsilon Telecom,EPSILON,telecoms,55.0
2018-06-30,Alpha Bank Corp,ALPHA,financials,63.4
2018-06-30,Beta Energy Inc,BETA,energy,42.3
2018-06-30,Gamma Tech Ltd,GAMMA,tech,32.7
2018-06-30,Delta Industrial Co,DELTA,industrials,127.1
2018-06-30,Epsilon Telecom,EPSILON,telecoms,51.5
2018-07-31,Alpha Bank Corp,ALPHA,financials,61.7
2018-07-31,Beta Energy Inc,BETA,energy,39.6
2018-07-31,Gamma Tech Ltd,GAMMA,tech,32.7
2018-07-31,Delta Industrial Co,DELTA,industrials,131.4
2018-07-31,Epsilon Telecom,EPSILON,telecoms,52.2
2018-08-31,Alpha Bank Corp,ALPHA,financials,61.7
2018-08-31,Beta Energy Inc,BETA,energy,36.0
2018-08-31,Gamma Tech Ltd,GAMMA,tech,29.2
2018-08-31,Delta Industrial Co,DELTA,industrials,112.0
2018-08-31,Epsilon Telecom,EPSILON,telecoms,50.4
2018-09-30,Alpha Bank Corp,ALPHA,financials,75.0
2018-09-30,Beta Energy Inc,BETA,energy,40.3
2018-09-30,Gamma Tech Ltd,GAMMA,tech,35.0
2018-09-30,Delta Industrial Co,DELTA,industrials,120.2
2018-09-30,Epsilon Telecom,EPSILON,telecoms,52.0
2018-10-31,Alpha Bank Corp,ALPHA,financials,68.0
2018-10-31,Beta Energy Inc,BETA,energy,36.6
2018-10-31,Gamma Tech Ltd,GAMMA,tech,40.8
2018-10-31,Delta Industrial Co,DELTA,industrials,103.2
2018-10-31,Epsilon Telecom,EPSILON,telecoms,55.1
2018-11-30,Alpha Bank Corp,ALPHA,financials,62.6
2018-11-30,Beta Energy Inc,BETA,energy,40.1
2018-11-30,Gamma Tech Ltd,GAMMA,tech,41.5
2018-11-30,Delta Industrial Co,DELTA,industrials,101.8
2018-11-30,Epsilon Telecom,EPSILON,telecoms,54.8
2018-12-31,Alpha Bank Corp,ALPHA,financials,59.5
2018-12-31,Beta Energy Inc,BETA,energy,41.8
2018-12-31,Gamma Tech Ltd,GAMMA,tech,39.7
2018-12-31,Delta Industrial Co,DELTA,industrials,87.9
2018-12-31,Epsilon Telecom,EPSILON,telecoms,49.7
2019-01-31,Alpha Bank Corp,ALPHA,financials,61.7
2019-01-31,Beta Energy Inc,BETA,energy,50.9
2019-01-31,Gamma Tech Ltd,GAMMA,tech,41.6
2019-01-31,Delta Industrial Co,DELTA,industrials,96.6
2019-01-31,Epsilon Telecom,EPSILON,telecoms,52.9
2019-02-28,Alpha Bank Corp,ALPHA,financials,71.6
2019-02-28,Beta Energy Inc,BETA,energy,55.2
2019-02-28,Gamma Tech Ltd,GAMMA,tech,42.5
2019-02-28,Delta Industrial Co,DELTA,industrials,117.4
2019-02-28,Epsilon Telecom,EPSILON,telecoms,58.0
2019-03-31,Alpha Bank Corp,ALPHA,financials,83.9
2019-03-31,Beta Energy Inc,BETA,energy,59.9
2019-03-31,Gamma Tech Ltd,GAMMA,tech,41.1
2019-03-31,Delta Industrial Co,DELTA,industrials,109.6
2019-03-31,Epsilon Telecom,EPSILON,telecoms,66.0
2019-04-30,Alpha Bank Corp,ALPHA,financials,98.9
2019-04-30,Beta Energy Inc,BETA,energy,62.6
2019-04-30,Gamma Tech Ltd,GAMMA,tech,42.6
2019-04-30,Delta Industrial Co,DELTA,industrials,137.5
2019-04-30,Epsilon Telecom,EPSILON,telecoms,66.0
2019-05-31,Alpha Bank Corp,ALPHA,financials,88.3
2019-05-31,Beta Energy Inc,BETA,energy,64.2
2019-05-31,Gamma Tech Ltd,GAMMA,tech,40.5
2019-05-31,Delta Industrial Co,DELTA,industrials,131.7
2019-05-31,Epsilon Telecom,EPSILON,telecoms,63.1
2019-06-30,Alpha Bank Corp,ALPHA,financials,90.1
2019-06-30,Beta Energy Inc,BETA,energy,75.0
2019-06-30,Gamma Tech Ltd,GAMMA,tech,42.3
2019-06-30,Delta Industrial Co,DELTA,industrials,152.5
2019-06-30,Epsilon Telecom,EPSILON,telecoms,58.0
2019-07-31,Alpha Bank Corp,ALPHA,financials,88.3
2019-07-31,Beta Energy Inc,BETA,energy,67.0
2019-07-31,Gamma Tech Ltd,GAMMA,tech,38.3
2019-07-31,Delta Industrial Co,DELTA,industrials,127.0
2019-07-31,Epsilon Telecom,EPSILON,telecoms,55.2
2019-08-31,Alpha Bank Corp,ALPHA,financials,95.6
2019-08-31,Beta Energy Inc,BETA,energy,59.4
2019-08-31,Gamma Tech Ltd,GAMMA,tech,39.7
2019-08-31,Delta Industrial Co,DELTA,industrials,117.1
2019-08-31,Epsilon Telecom,EPSILON,telecoms,55.8
2019-09-30,Alpha Bank Corp,ALPHA,financials,103.7
2019-09-30,Beta Energy Inc,BETA,energy,65.2
2019-09-30,Gamma Tech Ltd,GAMMA,tech,46.5
2019-09-30,Delta Industrial Co,DELTA,industrials,127.7
2019-09-30,Epsilon Telecom,EPSILON,telecoms,57.9
2019-10-31,Alpha Bank Corp,ALPHA,financials,98.6
2019-10-31,Beta Energy Inc,BETA,energy,65.6
2019-10-31,Gamma Tech Ltd,GAMMA,tech,46.8
2019-10-31,Delta Industrial Co,DELTA,industrials,113.2
2019-10-31,Epsilon Telecom,EPSILON,telecoms,58.2
2019-11-30,Alpha Bank Corp,ALPHA,financials,98.7
2019-11-30,Beta Energy Inc,BETA,energy,85.9
2019-11-30,Gamma Tech Ltd,GAMMA,tech,55.9
2019-11-30,Delta Industrial Co,DELTA,industrials,123.7
2019-11-30,Epsilon Telecom,EPSILON,telecoms,61.3
2019-12-31,Alpha Bank Corp,ALPHA,financials,83.2
2019-12-31,Beta Energy Inc,BETA,energy,73.8
2019-12-31,Gamma Tech Ltd,GAMMA,tech,52.9
2019-12-31,Delta Industrial Co,DELTA,industrials,123.4
2019-12-31,Epsilon Telecom,EPSILON,telecoms,56.6
2020-01-31,Alpha Bank Corp,ALPHA,financials,77.2
2020-01-31,Beta Energy Inc,BETA,energy,55.8
2020-01-31,Gamma Tech Ltd,GAMMA,tech,49.2
2020-01-31,Delta Industrial Co,DELTA,industrials,93.5
2020-01-31,Epsilon Telecom,EPSILON,telecoms,52.5
2020-02-29,Alpha Bank Corp,ALPHA,financials,70.5
2020-02-29,Beta Energy Inc,BETA,energy,53.3
2020-02-29,Gamma Tech Ltd,GAMMA,tech,41.1
2020-02-29,Delta Industrial Co,DELTA,industrials,74.2
2020-02-29,Epsilon Telecom,EPSILON,telecoms,56.0
2020-03-31,Alpha Bank Corp,ALPHA,financials,53.7
2020-03-31,Beta Energy Inc,BETA,energy,34.7
2020-03-31,Gamma Tech Ltd,GAMMA,tech,48.4
2020-03-31,Delta Industrial Co,DELTA,industrials,102.6
2020-03-31,Epsilon Telecom,EPSILON,telecoms,49.0
2020-04-30,Alpha Bank Corp,ALPHA,financials,52.9
2020-04-30,Beta Energy Inc,BETA,energy,38.0
2020-04-30,Gamma Tech Ltd,GAMMA,tech,65.9
2020-04-30,Delta Industrial Co,DELTA,industrials,90.6
2020-04-30,Epsilon Telecom,EPSILON,telecoms,52.6
2020-05-31,Alpha Bank Corp,ALPHA,financials,69.6
2020-05-31,Beta Energy Inc,BETA,energy,51.0
2020-05-31,Gamma Tech Ltd,GAMMA,tech,71.2
2020-05-31,Delta Industrial Co,DELTA,industrials,112.2
2020-05-31,Epsilon Telecom,EPSILON,telecoms,52.1
